NEW GOR secondary structure tables
GAVLISTDENQKHRFYWCMP
'NEW alpha'
   6  -2  -4  -6 -12 -19 -23 -22 -18 -14 -23 -11   5  11  11   1   3
   0  -1  -9   1  13 -15 -22   0 -13  -5 -16 -10 -12  -5  12   7   9
   1   5 -11  -1   9  -2  18  21  14 -17  19  12 -14   1  -3  -8 -12
 -16  -2  10   7   7  -5  -2  28  11 -19  -7   7  10  -3   1   6  -7
   4  19  20  -2  15  34  31   9  32  -6   6  11   8 -10 -22  -9 -11
   2  13  16  11  -1   3  16   0 -35 -22  10   0  -9  -6 -11   6  -3
 -15 -21  -3 -24  -8  -1  11  -9  29  11  -4 -18 -19 -23 -36 -14 -20
 -10  -7  -3   0  13   1 -16 -46 -38  -1  18 -23  15  -6  -4  -8 -14
 -13   0  -1   9 -11  -6 -13   4 -10   5  -2  -4  -6  -6  -2 -10 -11
 -18   6 -27 -24 -29 -31  -4 -17  18  14  -2  10  12  26  38   2   2
 -10 -15   8  -2  14   3  -8  20  -3   3 -14 -15   0  13   0  23  17
   3  -1   7  21  -8 -22 -22 -41 -36 -13 -25  -1   4   1  17   7  17
   1 -13 -27 -38   1  25   4  -3   7 -14 -20 -30 -10   8  16   4   7
 -22   0  -7 -22 -15  17   4 -26 -26 -14 -43 -43 -26   7  39   4   7
  48  28  48  57  -8  11  -8  16  36   7  -6   2  19  36  22  -4  -8
  35   7  -7 -10  -7 -17 -13 -35 -16   0 -27 -17   0  27  -7  16  34
  12   7   9  26  31  33  50 124  75  44  43  45  28  18  15   7  28
'EXTERNAL beta'
  18  11  16  25  32  24  21   3 -21  -7  37  33  18  13  13  18 -19
  -6   5  -6  -4 -11  -7   2 -20 -32 -22 -11   1   6   7   3  -2  10
  -8 -17 -19   1  -3   6  29  62  57  37  28   9  -4 -14   1   9  -7
 -22 -30 -40 -39 -51 -43 -24 -18   9  -5 -18 -11 -23 -11  -1  -1 -10
   8 -19 -23 -12 -23   0  26  48  59  50  32   7   6   0 -44 -44 -42
  19  25  28  30  41  38  20  21  17  15  15  17  15  15  12  12  32
  28  37   9  13  13  28  23  22  33  34  18  17  36  38  11   2  15
 -25 -16   8  24  15  14 -10 -50 -79 -76 -62 -17 -13 -21  -2 -31  -3
 -19  -2   0 -10  -2 -27 -72 -53 -30 -20 -42 -38 -14  -4   4  -4 -13
  20  18  33  17   9  11  -8   0 -48 -68 -38  -8   2   6  15  -4   4
  15   8   3 -17  -5 -47 -32 -29  13  10  -5   0   5  15  11  18  27
 -32 -22 -31 -51 -22 -23 -43 -49 -26  -9  -4   4  -6 -11  -8  -5   0
 -22 -13 -30   0   0   8  -4 -16 -26  -4  -8   8  11  -8  -4  12  19
 -13 -10 -36 -16 -62 -57 -57-103 -50   9  -9 -16 -28 -28  -6  -7 -37
   7 -31   2 -10  21  21  16  24  24  18  14 -40 -47 -34 -38 -22 -19
  13  26  26  17   3 -25  12  23  19  14  21 -14   8   5  15  28  31
 -15   7 -21 -14 -38 -38  40  58  18  12  -7   0 -79 -79 -79 -23 -50
  -8  14  23 -23 -15  -7  10  10  28  17 -36 -38 -20 -24  14  14   4
-114-113 -85 -63 -35 -62 -35  -6   0 -19 -59-119 -91 -91 -85 -35 -73
  18   2  23   4 -13   4 -11 -46 -61 -52 -22  12  19  33   8   8  12
'INTERNAL beta'
  21  16  30  31  41  42   7 -44 -72 -34 -18   4  36  32  25   9  21
 -27 -35 -14 -21  -7 -13  -9   0 -18 -31 -11 -23 -11  -4  -2  10   6
 -28 -31 -16 -40 -30   0  51  63  97  96  60  21 -18 -29 -37 -51 -18
 -10 -13 -27 -39 -12  11  27  64  40  33  -2 -53 -32 -42 -43 -21 -21
 -33 -28 -19 -23   3  25  46  70  83  76  42   7 -14 -19 -28 -47 -24
  11  17  31  33  15  26  18 -27 -36 -17   4  14  41  37  45  37  22
  43  23  45  28  13   5  20  18  13  16  25  20 -12 -28   8   3   0
  27  34  14   6  31 -12 -42 -61-120-123 -37   8  23  21  14  21   8
